country_x,year_x,A005,A104,E040,A030,A165,G007_18_B,G007_33_B,G007_34_B,G007_35_B,G007_36_B,D078,D059,C001,E233,F199,A124_02,A124_06,A105,E124,E069_40,C002,A040,A098,E069_01,F028,F028B,F034,F050,F063,F203,F202,E220,Country,Code,Democracy score,gdp_per_capita,gdp_per_capita_std,country_y,iso3,year_y,hdi
BGD,2018,1.221666666666667,0.145,3.348333333333333,0.5158333333333334,1.8708333333333331,1.8,2.1866666666666665,3.1216666666666666,2.893333333333333,3.183333333333333,2.17,2.216666666666667,1.3108333333333333,8.8925,1.915,0.3216666666666666,0.4075,0.0875,1.9233333333333331,2.2725,1.1816666666666666,0.8491666666666666,0.5158333333333334,1.0725,3.295,2.375,1.0216666666666667,0.9983333333333332,9.660833333333333,1.1933333333333334,1.288333333333333,6.42,Bangladesh,BGD,5.57,1963.31244102476,-0.6187296341923426,Bangladesh,BGD,2018.0,0.636
BGD,2018,1.221666666666667,0.145,3.348333333333333,0.5158333333333334,1.8708333333333331,1.8,2.1866666666666665,3.1216666666666666,2.893333333333333,3.183333333333333,2.17,2.216666666666667,1.3108333333333333,8.8925,1.915,0.3216666666666666,0.4075,0.0875,1.9233333333333331,2.2725,1.1816666666666666,0.8491666666666666,0.5158333333333334,1.0725,3.295,2.375,1.0216666666666667,0.9983333333333332,9.660833333333333,1.1933333333333334,1.288333333333333,6.42,Bangladesh,BGD,5.57,1963.31244102476,-0.6187296341923426,Bangladesh,BGD,2018.0,0.636
BGR,2006,1.7469063545835437,0.040266294510815,4.746007698221932,0.8698777256718826,1.7845038668232542,2.099960946053166,1.8740070424377036,3.018467939429929,2.6521962897541718,2.6552278842203374,2.968229721642952,2.5109447864324634,1.990554122688394,8.705250019085916,1.751498899130847,0.2005921558559871,0.1761634680552141,0.0273940325153652,2.957841449707122,2.712658380872296,1.3223699095378605,0.1821707019414725,0.0624826456040488,2.3462494794455444,5.252108317724442,,1.4128525397173337,,5.688779710065528,,,7.064126015267253,Bulgaria,BGR,7.1,4523.1465578805,-0.4939391508929265,Bulgaria,BGR,2006.0,0.77
BGR,2006,1.7469063545835437,0.040266294510815,4.746007698221932,0.8698777256718826,1.7845038668232542,2.099960946053166,1.8740070424377036,3.018467939429929,2.6521962897541718,2.6552278842203374,2.968229721642952,2.5109447864324634,1.990554122688394,8.705250019085916,1.751498899130847,0.2005921558559871,0.1761634680552141,0.0273940325153652,2.957841449707122,2.712658380872296,1.3223699095378605,0.1821707019414725,0.0624826456040488,2.3462494794455444,5.252108317724442,,1.4128525397173337,,5.688779710065528,,,7.064126015267253,Bulgaria,BGR,7.1,4523.1465578805,-0.4939391508929265,Bulgaria,BGR,2006.0,0.77
BGR,2006,1.7469063545835437,0.040266294510815,4.746007698221932,0.8698777256718826,1.7845038668232542,2.099960946053166,1.8740070424377036,3.018467939429929,2.6521962897541718,2.6552278842203374,2.968229721642952,2.5109447864324634,1.990554122688394,8.705250019085916,1.751498899130847,0.2005921558559871,0.1761634680552141,0.0273940325153652,2.957841449707122,2.712658380872296,1.3223699095378605,0.1821707019414725,0.0624826456040488,2.3462494794455444,5.252108317724442,,1.4128525397173337,,5.688779710065528,,,7.064126015267253,Bulgaria,BGR,7.1,4523.1465578805,-0.4939391508929265,Bulgaria,BGR,2006.0,0.77
BLR,2011,1.8477079069097395,0.0718233709215922,4.506454980210193,0.8762299489565923,1.6529288830004227,2.194099664291788,2.021615337726835,3.056690032623525,2.70324297091962,2.700211502478188,2.3860237467976884,2.145192483881861,1.9332602258840028,7.490478742878891,1.769021490952058,0.2310449898305243,0.3344703630976788,0.0357343874129989,2.229082864724804,2.3148458455909258,1.515040889762721,0.1440389698610686,0.1581069452794996,2.0345095678538643,4.910096031460473,4.879495643459555,1.42763778770366,0.859891911620812,6.511120491017127,2.924596145646466,2.990866869593792,5.556675559333444,Belarus,BLR,3.16,6527.6593428786,-0.3962202723247227,Belarus,BLR,2011.0,0.798
BLR,2011,1.8477079069097395,0.0718233709215922,4.506454980210193,0.8762299489565923,1.6529288830004227,2.194099664291788,2.021615337726835,3.056690032623525,2.70324297091962,2.700211502478188,2.3860237467976884,2.145192483881861,1.9332602258840028,7.490478742878891,1.769021490952058,0.2310449898305243,0.3344703630976788,0.0357343874129989,2.229082864724804,2.3148458455909258,1.515040889762721,0.1440389698610686,0.1581069452794996,2.0345095678538643,4.910096031460473,4.879495643459555,1.42763778770366,0.859891911620812,6.511120491017127,2.924596145646466,2.990866869593792,5.556675559333444,Belarus,BLR,3.16,6527.6593428786,-0.3962202723247227,Belarus,BLR,2011.0,0.798
BLR,2011,1.8477079069097395,0.0718233709215922,4.506454980210193,0.8762299489565923,1.6529288830004227,2.194099664291788,2.021615337726835,3.056690032623525,2.70324297091962,2.700211502478188,2.3860237467976884,2.145192483881861,1.9332602258840028,7.490478742878891,1.769021490952058,0.2310449898305243,0.3344703630976788,0.0357343874129989,2.229082864724804,2.3148458455909258,1.515040889762721,0.1440389698610686,0.1581069452794996,2.0345095678538643,4.910096031460473,4.879495643459555,1.42763778770366,0.859891911620812,6.511120491017127,2.924596145646466,2.990866869593792,5.556675559333444,Belarus,BLR,3.16,6527.6593428786,-0.3962202723247227,Belarus,BLR,2011.0,0.798
BOL,2017,1.2520561199806484,0.2786647314949201,4.378326076439284,0.4460570875665215,1.913884857281084,2.8524431543299467,2.5345911949685536,3.5002418964683115,2.971940009675859,3.316884373488147,2.93807450411224,2.866473149492017,1.8287373004354135,8.514271891630383,1.7513304305757136,0.0561199806482825,0.1054668601838413,0.2622157716497339,2.525399129172714,2.559264634736333,1.1848089017900338,0.4160619254958878,1.1136913401064343,2.373971940009676,3.547653604257378,2.64392839864538,1.154329946782777,0.9777455249153364,9.239477503628446,2.366231253023706,2.2375423318819547,6.75229801644896,Bolivia,BOL,5.49,3280.0082139387,-0.5545414507556545,Bolivia,BOL,2017.0,0.707
BOL,2017,1.2520561199806484,0.2786647314949201,4.378326076439284,0.4460570875665215,1.913884857281084,2.8524431543299467,2.5345911949685536,3.5002418964683115,2.971940009675859,3.316884373488147,2.93807450411224,2.866473149492017,1.8287373004354135,8.514271891630383,1.7513304305757136,0.0561199806482825,0.1054668601838413,0.2622157716497339,2.525399129172714,2.559264634736333,1.1848089017900338,0.4160619254958878,1.1136913401064343,2.373971940009676,3.547653604257378,2.64392839864538,1.154329946782777,0.9777455249153364,9.239477503628446,2.366231253023706,2.2375423318819547,6.75229801644896,Bolivia,BOL,5.49,3280.0082139387,-0.5545414507556545,Bolivia,BOL,2017.0,0.707
BOL,2017,1.2520561199806484,0.2786647314949201,4.378326076439284,0.4460570875665215,1.913884857281084,2.8524431543299467,2.5345911949685536,3.5002418964683115,2.971940009675859,3.316884373488147,2.93807450411224,2.866473149492017,1.8287373004354135,8.514271891630383,1.7513304305757136,0.0561199806482825,0.1054668601838413,0.2622157716497339,2.525399129172714,2.559264634736333,1.1848089017900338,0.4160619254958878,1.1136913401064343,2.373971940009676,3.547653604257378,2.64392839864538,1.154329946782777,0.9777455249153364,9.239477503628446,2.366231253023706,2.2375423318819547,6.75229801644896,Bolivia,BOL,5.49,3280.0082139387,-0.5545414507556545,Bolivia,BOL,2017.0,0.707
BRA,2014,1.3878778136710694,0.162996653689904,4.19420928232951,0.641282368885828,1.9293621602743156,2.554074167099343,2.459154411110289,3.377985108141909,2.522094075502321,3.03780213039682,2.859437854167675,2.823358367713227,1.9308565357196927,8.486075986084465,1.3888562254760988,0.0192674770277381,0.0263556227759207,0.2413133787096302,2.806302740530376,2.3852727942590204,1.3306106362678145,0.497979030699352,1.212669159793082,2.1922182332833944,3.5639979850095007,2.4731469253595764,1.1951455871375574,0.9863723410525114,9.50420958832546,3.0128661071607663,2.552812000931421,4.026850739849129,Brazil,BRA,7.38,12071.4044637296,-0.1259657943628748,Brazil,BRA,2014.0,0.753
BRA,2014,1.3878778136710694,0.162996653689904,4.19420928232951,0.641282368885828,1.9293621602743156,2.554074167099343,2.459154411110289,3.377985108141909,2.522094075502321,3.03780213039682,2.859437854167675,2.823358367713227,1.9308565357196927,8.486075986084465,1.3888562254760988,0.0192674770277381,0.0263556227759207,0.2413133787096302,2.806302740530376,2.3852727942590204,1.3306106362678145,0.497979030699352,1.212669159793082,2.1922182332833944,3.5639979850095007,2.4731469253595764,1.1951455871375574,0.9863723410525114,9.50420958832546,3.0128661071607663,2.552812000931421,4.026850739849129,Brazil,BRA,7.38,12071.4044637296,-0.1259657943628748,Brazil,BRA,2014.0,0.753
BRA,2018,1.437726305409642,0.1265300010192395,4.610109717538758,0.552970949823569,1.933624640754109,2.541177000133548,2.3794298231457978,3.195386598672872,2.5321595987314347,2.904658237877269,2.967555058471426,2.9944075169308886,1.9237920713471977,8.174241142580724,1.378471076250926,0.0137972414380915,0.0255863210939782,0.164750675903814,2.733651397848776,2.2508126802068,1.492540674106822,0.363359131612244,1.1074270188551705,2.2487211858465583,3.8499798470484654,2.7676862968391536,1.2716301306179931,0.9743080886658584,9.0350655539455,3.0561218721246632,2.5780204973556278,4.26477164525718,Brazil,BRA,6.97,9121.02099480377,-0.269795340418812,Brazil,BRA,2018.0,0.762
CAN,2020,2.0542900713893584,0.3863685640355864,4.909750617863039,0.4738919029318739,1.533069860467487,2.0674427704312928,1.6310207917006032,2.574216009071548,2.1221364062710406,2.08061689879079,3.26145725489337,3.2582743114643957,2.059534677537134,8.788002358670925,1.5941860777880346,0.0448864252702313,0.0876053142552252,0.3369514703806894,1.994841341585384,2.366966224275313,1.923597091652134,0.1241933731213612,0.4758749300129122,2.734100763379897,6.449382951794081,5.454949726426026,1.8329391448160235,0.5847613811467567,4.955796058287549,3.320395275401306,3.2798932566973966,4.204584245536212,Canada,CAN,9.24,43537.839298904,1.408005327021428,Canada,CAN,2020.0,0.928
CAN,2006,1.6954337647897522,0.4773277088823766,4.007557449087883,0.5414300621751887,1.5736271875261436,1.9708447248939795,1.571797850207324,2.5998538263416644,2.198743884209284,2.241251092167849,3.1857788774154736,3.026855743245064,1.93635822664684,9.103667888916654,1.1603720611420716,0.0221542895057538,0.0420091931764272,0.5816856056475189,1.8738782883090568,2.0982013492335345,1.720810534852753,0.304104687618111,0.7826495841030774,2.2986801155870413,5.120238925709106,,1.3991586903046904,,7.172214244010662,,,6.249879221004056,Canada,CAN,9.07,40504.0370977806,1.2601091643677145,Canada,CAN,2006.0,0.907
CAN,2006,1.6954337647897522,0.4773277088823766,4.007557449087883,0.5414300621751887,1.5736271875261436,1.9708447248939795,1.571797850207324,2.5998538263416644,2.198743884209284,2.241251092167849,3.1857788774154736,3.026855743245064,1.93635822664684,9.103667888916654,1.1603720611420716,0.0221542895057538,0.0420091931764272,0.5816856056475189,1.8738782883090568,2.0982013492335345,1.720810534852753,0.304104687618111,0.7826495841030774,2.2986801155870413,5.120238925709106,,1.3991586903046904,,7.172214244010662,,,6.249879221004056,Canada,CAN,9.07,40504.0370977806,1.2601091643677145,Canada,CAN,2006.0,0.907
CHE,2007,1.5592336551575852,0.4549149739793877,5.257374780167674,0.2025881390045827,1.4635356699350976,1.9632064075948827,1.689953171265809,2.5585310015419385,2.2813550788591788,2.2413527550876613,3.288896410422885,3.1875033711226086,1.928647627789112,9.379154501962232,1.461143718713155,0.05424596259304,0.0694224734386642,0.4519850968066832,1.7918632211227463,2.2941191767552294,1.680070157625851,0.1258530673177664,0.7596335641648227,2.6110571790138195,5.4434044604866,,1.4334386644001125,,6.399230569580952,,,,Switzerland,CHE,9.085,64989.1553256031,2.4537450008360606,Switzerland,CHE,2007.0,0.92
CHE,2007,1.5592336551575852,0.4549149739793877,5.257374780167674,0.2025881390045827,1.4635356699350976,1.9632064075948827,1.689953171265809,2.5585310015419385,2.2813550788591788,2.2413527550876613,3.288896410422885,3.1875033711226086,1.928647627789112,9.379154501962232,1.461143718713155,0.05424596259304,0.0694224734386642,0.4519850968066832,1.7918632211227463,2.2941191767552294,1.680070157625851,0.1258530673177664,0.7596335641648227,2.6110571790138195,5.4434044604866,,1.4334386644001125,,6.399230569580952,,,,Switzerland,CHE,9.085,64989.1553256031,2.4537450008360606,Switzerland,CHE,2007.0,0.92
CHE,2007,1.5592336551575852,0.4549149739793877,5.257374780167674,0.2025881390045827,1.4635356699350976,1.9632064075948827,1.689953171265809,2.5585310015419385,2.2813550788591788,2.2413527550876613,3.288896410422885,3.1875033711226086,1.928647627789112,9.379154501962232,1.461143718713155,0.05424596259304,0.0694224734386642,0.4519850968066832,1.7918632211227463,2.2941191767552294,1.680070157625851,0.1258530673177664,0.7596335641648227,2.6110571790138195,5.4434044604866,,1.4334386644001125,,6.399230569580952,,,,Switzerland,CHE,9.085,64989.1553256031,2.4537450008360606,Switzerland,CHE,2007.0,0.92
CHL,2018,1.7032205401797975,0.1955424155385769,4.595757087309504,0.2821171797136552,1.8664252102890295,2.2459042126245854,2.395635669366138,2.9915581997211445,2.706675192983971,2.7339733155012422,2.9051853155599736,2.801465907261284,1.880634530455757,7.27765669850324,1.9583891801740936,0.0690254465982772,0.1316258260942054,0.1750110612511361,2.6192263217442258,2.291150067257121,1.6273364535677348,0.1030295840530568,0.562302284675555,2.6433766243469456,5.152494666546254,4.822076550472942,1.5912387451537082,0.8617801911407726,6.528085412151755,2.9259432403594894,2.8367167813113223,6.052212914136411,Chile,CHL,7.97,15820.0333659534,0.0567777706745585,Chile,CHL,2018.0,0.856
CHL,2012,1.545,0.099,4.83,0.305,1.87,2.247,2.133,2.992,2.573,2.633,3.148,2.957,2.057,8.559,1.291,0.056,0.076,0.191,2.472,2.208,1.484,0.275,0.617,2.376,5.08,3.138,1.522,0.924,8.217,3.087,2.731,6.953,Chile,CHL,7.54,15397.7804504673,0.0361931769107949,Chile,CHL,2012.0,0.824
CHL,2018,1.7032205401797975,0.1955424155385769,4.595757087309504,0.2821171797136552,1.8664252102890295,2.2459042126245854,2.395635669366138,2.9915581997211445,2.706675192983971,2.7339733155012422,2.9051853155599736,2.801465907261284,1.880634530455757,7.27765669850324,1.9583891801740936,0.0690254465982772,0.1316258260942054,0.1750110612511361,2.6192263217442258,2.291150067257121,1.6273364535677348,0.1030295840530568,0.562302284675555,2.6433766243469456,5.152494666546254,4.822076550472942,1.5912387451537082,0.8617801911407726,6.528085412151755,2.9259432403594894,2.8367167813113223,6.052212914136411,Chile,CHL,7.97,15820.0333659534,0.0567777706745585,Chile,CHL,2018.0,0.856
CHN,2013,1.8004758436455537,0.0242716570536117,3.6913331103814526,0.7531847447382993,1.3665182422919202,1.962269384872774,2.086723290967329,3.0862995774949624,3.0593672422175,3.081928192338391,2.5946663739002944,2.4264701062404166,1.7838825299633736,8.688936745197402,2.400821018336404,0.104772951150985,0.1223731696017646,0.0230550292444517,1.97697632379859,2.160387692551128,1.4950335261560554,0.0115104202746376,0.0539483640320227,3.054541167936819,7.530212808710083,7.364732101012423,2.150497030080041,0.1874699178265055,3.4872377397427794,3.344552489988835,3.478801935947104,5.518844555389989,China,CHN,3.0,7020.3860742288,-0.372200119403541,China,CHN,2013.0,0.723
CHN,2018,1.6899856575068188,0.0488914847181545,3.715669937065933,0.7067824493964626,1.3587022004030278,2.011539786045636,1.981876215707532,3.05062328014475,3.03127768098399,3.0892146336062205,2.694584508223109,2.455460338828209,1.613380830679954,8.891734804448285,1.5538753178063602,0.1833836920336624,0.2621630445171314,0.0342980129510531,1.8296762263985065,2.157717616360948,1.3339815631208511,0.011167653311194,0.0720527155696366,3.0156856084424923,7.467978071827759,7.78721491779528,2.182648079067933,0.1707684112754769,2.7652629468057035,3.261239976350212,3.430484935081106,5.470300538193437,China,CHN,3.32,9905.40638304527,-0.2315569908917386,China,CHN,2018.0,0.766
CHN,2007,1.6479162138498211,0.1113785521529596,3.645495611625288,0.8343201411410556,1.470354300675164,1.902207480073576,1.9831310697124929,3.1031460960511064,3.082413611245084,3.1916466063785838,2.62667631417384,2.423682449062877,1.849360638971536,9.016172737917666,1.6461606397558652,0.1262973643975732,0.1722780668344233,0.1507855383271855,1.851538203022832,2.0836449065814864,1.548519945546077,0.024494788193841,0.1326256632805162,2.7843329685645384,5.647935895919251,,1.9351916555611752,,3.5414975984419743,,,5.674539741383464,China,CHN,3.005,2693.95873160283,-0.5831110356582482,China,CHN,2007.0,0.668
COL,2005,,0.0750413223140495,4.87603305785124,0.1897520661157024,1.856198347107438,2.439669421487604,2.259173553719008,3.289586776859504,2.851900826446281,3.009256198347108,2.906115702479339,2.7586776859504134,,,1.2376859504132232,0.0429752066115702,,0.1044628099173553,2.6598347107438016,2.4039669421487604,,0.4770247933884297,0.7342148760330579,1.713388429752066,3.683305785123967,,1.205289256198347,,9.673388429752066,,,7.332231404958677,Colombia,COL,6.4,3448.53832259071,-0.5463257020980736,Colombia,COL,2005.0,0.701
COL,2012,1.257936507936508,0.2275132275132275,4.800264550264551,0.1355820105820105,1.958994708994709,2.566798941798942,2.3703703703703702,3.414021164021164,3.0416666666666665,3.1785714285714284,3.0304232804232805,2.9074074074074074,1.9001322751322751,7.896825396825397,1.3902116402116402,0.0324074074074074,0.0469576719576719,0.2195767195767195,2.833333333333333,2.007936507936508,1.2638888888888888,0.6031746031746031,1.1686507936507935,1.8293650793650795,3.789021164021164,2.3994708994708995,1.1792328042328042,0.9861111111111112,9.628306878306878,2.5846560846560847,2.316137566137566,6.857142857142857,Colombia,COL,6.63,8096.80150827421,-0.3197254682685403,Colombia,COL,2012.0,0.739
COL,2005,,0.0750413223140495,4.87603305785124,0.1897520661157024,1.856198347107438,2.439669421487604,2.259173553719008,3.289586776859504,2.851900826446281,3.009256198347108,2.906115702479339,2.7586776859504134,,,1.2376859504132232,0.0429752066115702,,0.1044628099173553,2.6598347107438016,2.4039669421487604,,0.4770247933884297,0.7342148760330579,1.713388429752066,3.683305785123967,,1.205289256198347,,9.673388429752066,,,7.332231404958677,Colombia,COL,6.4,3448.53832259071,-0.5463257020980736,Colombia,COL,2005.0,0.701
CYP,2019,1.6006569739999998,0.2069699359999999,5.522246672999999,0.778586496,1.9335150320000003,2.171635288,2.034312962,3.3248477080000005,2.939378265,2.952140956,2.927322326,2.843635288,1.80159586,8.602994825000001,1.254111878,0.1562321339999999,0.2043585509999999,0.2384144899999999,2.21280828,2.358878758,1.3489408579999995,0.4896621489999999,0.3558735829999999,2.1899812720000003,3.679875555,3.061106703,1.220227945,0.95279793,8.023376293,2.247747166,2.495757516,6.261749383,Cyprus,CYP,7.59,29419.9921875,0.7197681664262847,Cyprus,CYP,2019.0,0.901
CYP,2019,1.6006569739999998,0.2069699359999999,5.522246672999999,0.778586496,1.9335150320000003,2.171635288,2.034312962,3.3248477080000005,2.939378265,2.952140956,2.927322326,2.843635288,1.80159586,8.602994825000001,1.254111878,0.1562321339999999,0.2043585509999999,0.2384144899999999,2.21280828,2.358878758,1.3489408579999995,0.4896621489999999,0.3558735829999999,2.1899812720000003,3.679875555,3.061106703,1.220227945,0.95279793,8.023376293,2.247747166,2.495757516,6.261749383,Cyprus,CYP,7.59,29419.9921875,0.7197681664262847,Cyprus,CYP,2019.0,0.901
