country,year,A005,A104,E040,A030,A165,G007_18_B,G007_33_B,G007_34_B,G007_35_B,G007_36_B,D078,D059,C001,E233,F199,A124_02,A124_06,A105,E124,E069_40,C002,A040,A098,E069_01,F028,F028B,F034,F050,F063,F203,F202,E220
MAR,2011,4.625,0.15,1.4699074074074074,3.3541666666666665,0.6291666666666667,3.3152777777777773,3.259722222222222,1.2874999999999999,1.4041666666666666,1.3680555555555554,1.8805555555555555,1.722222222222222,1.7375,3.9479166666666665,4.121296296296296,4.3125,4.4625,0.1,2.197222222222222,3.0486111111111107,0.6916666666666667,3.879166666666667,0.12083333333333333,4.236111111111112,,4.230357142857142,4.71875,4.995833333333334,4.922685185185185,4.120833333333334,3.7722222222222217,2.156944444444444
MAR,2021,4.627777777777778,0.79375,1.7912037037037036,3.2583333333333333,0.825,2.7902777777777774,2.873611111111111,1.7166666666666666,1.8222222222222222,1.8152777777777775,2.7277777777777774,2.5402777777777774,1.9979166666666666,3.8691666666666666,3.7375,4.325,3.841666666666667,0.90625,2.4902777777777776,2.313888888888888,1.0125,3.3583333333333334,1.1958333333333333,3.1527777777777777,3.333928571428571,4.241666666666666,4.104166666666667,4.933333333333334,4.434722222222222,4.138888888888889,4.126388888888889,2.827314814814815
MDA,2006,3.870299553855959,0.4875717017208413,1.9386020820055236,3.9722753346080304,0.9034416826003824,2.552581261950287,3.062460165710644,1.1806883365200764,1.631612492033142,1.9566602931803696,2.5605481198215427,2.326322498406628,2.519120458891013,4.347514340344168,4.48958997238156,3.81453154875717,4.058317399617591,0.25334608030592737,1.6618865519439134,2.2737412364563414,0.8293499043977055,2.0793499043977057,1.1376673040152965,3.2504780114722753,2.3285987435127016,,4.579349904397706,,3.958997238155938,,,3.1543445931591245
MDV,2021,4.278152069297401,0.2165543792107796,1.2832852101379533,2.1559191530317614,1.0731472569778633,3.1408405518126403,3.3926852743022136,1.1164581328200192,1.4019890920757136,1.7821623355790823,2.550529355149182,2.380494064805903,2.1944177093359,3.660250240615977,4.909100630948562,3.7006737247353225,3.8113570741097207,0.21896053897978826,2.81199871671479,3.2435033686236765,0.4258902791145332,4.475457170356112,0.23339749759384024,3.410330445941611,3.6608002199917498,4.697511343324625,4.629451395572666,4.995187680461982,4.931023419955085,4.836381135707411,4.818735964068013,2.8815099989305955
MEX,2005,4.712606837606837,0.6634615384615384,1.304843304843305,1.2147435897435896,0.7756410256410257,2.5,3.0694444444444446,1.141025641025641,1.6891025641025639,1.4038461538461537,3.180555555555556,3.007478632478632,3.5576923076923075,4.123397435897436,4.432336182336182,4.586538461538462,4.512820512820513,0.9455128205128205,2.667735042735042,2.9551282051282053,1.1201923076923077,1.9423076923076923,2.764423076923077,3.3258547008547006,3.151098901098901,,4.314102564102564,,4.67948717948718,,,3.3799857549857553
MEX,2012,4.68,0.66875,1.2880555555555557,1.9025,0.625,2.3866666666666667,2.526666666666667,0.925,1.5625,1.3191666666666666,3.3141666666666665,3.2,3.845,4.169,4.545555555555555,4.4925,4.4225,0.77625,2.483333333333333,2.903333333333333,1.545,1.765,2.60875,3.195833333333333,3.1042857142857136,3.533214285714285,4.3075,4.6925,4.649444444444445,2.3225,2.3233333333333333,3.368888888888889
MEX,2018,4.482918980043604,0.5718929359764509,1.750640939978958,1.9719344830269858,0.5244175792935282,2.47690153882389,2.273713810509711,0.9803627550203072,1.7110840636586027,1.378979863546661,3.5203166911541484,3.298100180246966,3.1796831886375325,3.4989358786851996,4.3359120365529,4.429495231759842,4.321366329635125,0.6286778598159576,2.179309284001763,2.3303255967508054,1.9646640306075447,1.579006897036447,2.0628493183827055,3.049114176473151,3.055523265985074,3.506671435108855,4.226518247065156,4.7944406930731756,4.2146743757532255,2.078351640895686,2.211508707634289,3.1898745709539225
MLI,2007,4.755541069100391,1.2891134289439374,1.8158771548602057,3.6310299869621905,0.8441981747066493,3.623424598000869,3.5245545415036936,2.051282051282051,3.081269013472403,2.8476749239461103,1.2299000434593654,1.378748370273794,1.5058670143415906,3.935462842242503,2.882080254961611,3.8983050847457625,3.7744458930899607,1.4700130378096479,3.5821382007822686,3.1899174272055633,0.5850717079530638,2.9791395045632334,2.6597131681877446,4.369839200347675,3.941609238219408,,4.931551499348109,,4.531363175430972,,,2.816529045342605
MMR,2020,4.547222222222222,0.09375,1.577777777777778,2.283333333333333,0.7541666666666667,3.068055555555555,3.2069444444444444,2.1180555555555554,1.4805555555555554,1.4458333333333333,1.6680555555555554,1.7319444444444443,0.8125,4.343333333333334,4.703240740740741,1.4791666666666667,1.3583333333333334,1.4166666666666667,3.218055555555555,4.172222222222222,0.2791666666666667,2.629166666666667,1.28125,3.8027777777777785,3.1107142857142858,4.036309523809524,4.864583333333333,4.945833333333334,4.836111111111111,4.618055555555555,4.325,2.6939814814814813
MNG,2020,3.9011305607828617,1.1411710147013219,1.9701994949771053,3.595619564301156,1.3013110217835822,3.2142498404640034,3.218366834479904,1.7323756201391771,1.6526083176082749,1.505082785701521,2.7866712083361755,2.5040048058600326,2.158789666183024,3.600580187587812,3.753684305786135,3.9707604154403433,3.5369504909966993,1.021710445554176,2.240607523616274,2.322730880696797,1.0298762971269857,0.9278130463941372,1.2542970497560695,1.7058621772929758,1.2848930365713516,1.6215529716643473,3.219487366832005,3.166767714608917,2.4559736421242016,1.680333746831779,1.808922597515146,2.859151491189646
MYS,2006,4.386622259228421,0.30599500416319736,1.911370154500879,2.456286427976686,0.4412989175686928,3.2389675270607823,3.084929225645295,1.3058562309186788,2.059394948653899,1.4487926727726892,2.2814321398834303,1.8665001387732445,1.654870940882598,3.3646960865945044,3.850494957905449,3.971690258118235,2.1690258118234804,0.466278101582015,3.215376075492645,3.039134054954205,0.3996669442131557,2.980849292256453,1.2260616153205661,4.075770191507077,4.277387891043178,,4.669025811823481,,3.927745397354057,,,2.861966879452308
MYS,2012,4.633333333333333,0.24807692307692308,1.4649572649572649,2.1807692307692306,0.4269230769230769,3.1769230769230767,3.1782051282051276,1.1089743589743588,1.9756410256410255,1.3333333333333333,2.230769230769231,1.8153846153846154,1.5326923076923078,3.8638461538461537,4.307264957264957,3.4346153846153844,2.0153846153846153,0.4,2.8217948717948715,3.1782051282051276,0.33076923076923076,3.1923076923076925,1.0307692307692307,3.976923076923077,3.391208791208791,4.246703296703297,3.8211538461538463,4.9192307692307695,4.459829059829059,3.308974358974359,3.473076923076923,2.447008547008547
MYS,2018,4.141914191419142,1.0548362528560549,2.1058644325971057,1.6450875856816451,0.9786747905559787,3.019801980198019,3.3549124143183544,1.4673775069814672,2.472708809342472,1.9636963696369634,2.6377253109926375,2.1896420411271897,1.9763899466869763,2.540746382330541,3.813996784293814,4.725818735719725,2.4714394516374716,1.0491241431835492,2.729119065752729,3.226707286113226,0.43412033511043413,2.9855293221629857,1.7022086824067022,3.670982482863671,3.2444782939832444,4.138287455119138,4.413556740289414,4.76009139375476,4.142760429889143,3.4424980959634426,3.6722518405686726,2.9030210713379034
NGA,2012,4.450518730457168,0.6359992918702198,1.8295320312245158,3.8987845705024604,0.7506218307269654,3.3085187550165824,2.9510586585693366,1.515157346634227,2.2452200481834486,1.9657088987778428,1.6544359456742723,1.3480144244110877,1.3425349840898202,3.4563191486797384,4.104659198836026,3.9552012973738027,3.9940841942203966,0.7423711182196971,2.7406771439857063,2.8075217678654765,1.002837777791422,3.6348220317958,4.260300428720962,4.38609214768061,4.482939823944733,4.709394029586882,4.892255944799532,4.97528225702837,4.4536416229619,3.2912953287008513,3.9850471446004496,2.841943827363892
NGA,2018,4.717112935808027,1.0485090719509211,1.9348237357904947,3.6941258162676087,0.6503176038303601,2.8335576535171563,2.764272770786974,1.622070044257965,2.153781303068758,1.7902620567565959,1.917499780512966,1.4447554835223562,1.4699861758008708,3.4787136118092303,4.473006558717096,4.2089095245879005,4.33084130012499,0.8467286035434689,2.158355391622612,3.156853817332818,0.7946813849508377,3.6247603379266,3.8286746129212768,4.261228261955068,4.414514127451832,4.804973038986913,4.854289015726781,4.9469266504904645,4.691611190905912,3.424339798861917,4.127304509713056,2.468626968632784
NIC,2020,4.438888888888888,0.7270833333333333,2.286574074074074,1.6291666666666667,0.2125,2.0555555555555554,2.5666666666666664,0.9180555555555554,1.811111111111111,1.1069444444444443,3.0819444444444444,2.9499999999999997,3.4229166666666666,4.112916666666667,4.674537037037037,4.0125,3.975,0.6833333333333333,2.0527777777777776,2.6027777777777774,1.3270833333333334,2.65,2.3916666666666666,3.345833333333333,2.8601190476190474,3.7005952380952376,4.166666666666667,4.608333333333333,4.752777777777777,2.6458333333333335,3.0263888888888886,3.200462962962963
NIR,2022,3.3477054206521686,1.0961918444742087,1.937581409096971,2.3103703053293594,1.9904314389282767,3.609867384473046,4.1426169977741445,2.3379610982165926,3.340859380705338,3.191368776244419,4.024337435843953,3.9906905917870934,4.5476115201345815,4.567074221681076,,4.812455176596065,4.52707644279954,1.100258326386074,3.0407203306745854,2.9808392074624375,2.553223056783704,1.0000529955232373,2.5439800091195073,2.363900396028542,2.043158649618306,2.2907977575112586,3.409778380077526,3.5088407523810834,2.677424890372035,1.2274958558297993,1.6723815097986316,2.1361561188830462
NLD,2006,3.4431866910859554,0.4583807186914239,2.193441433286818,1.4672820626789742,2.2461252306367903,3.0299477605989544,3.629796726564188,1.726909186919136,2.299096387251769,2.25063633866352,3.6461854903840267,3.538275002511531,4.208711667507566,4.537019793121347,4.868016092069316,4.613611716081757,4.554812048239097,0.6800960874114454,,2.360061120217095,2.7380057428553526,0.4843829573067067,1.132298303598347,1.7854072468192559,1.275283218702943,,3.699755045423672,,1.980791876652874,,,
NLD,2012,3.448124780932352,0.2852260778128286,2.1030494216614097,1.5667718191377498,3.3517350157728707,3.0669470732562214,3.4647739221871716,1.841044514546092,2.2888187872415,2.2388713634770414,3.7767262530669474,3.6102348405187517,4.185068349106204,4.492376445846477,4.844608014955019,4.589905362776025,4.019453207150368,0.47187171398527866,2.867157378198388,2.3186119873817033,2.506572029442692,0.6966351209253417,1.0160357518401681,1.63161584297231,1.1694456962595763,1.5183265735316207,3.3767087276551,2.40273396424816,1.8790162402149786,1.1198738170347002,0.7939011566771819,1.58546559177474
NLD,2022,3.337218337218337,0.38578088578088576,2.1346801346801345,1.3426573426573427,3.0839160839160837,3.7567987567987564,4.288267288267288,2.7847707847707843,3.3247863247863245,3.256410256410256,4.127428127428127,4.073815073815073,4.602564102564102,4.451981351981352,4.842009842009842,4.766899766899767,3.937062937062937,0.4627039627039627,2.9199689199689196,2.4289044289044286,2.8146853146853146,0.3939393939393939,0.8251748251748252,1.654234654234654,0.8334998334998335,1.2321012321012321,3.001165501165501,1.9393939393939394,1.5275835275835277,1.0753690753690752,0.7575757575757576,1.3856513856513857
NOR,2007,4.04390243902439,0.8195121951219512,2.1804878048780494,0.6341463414634146,3.6975609756097563,3.9560975609756093,4.313821138211383,2.7918699186991867,3.175609756097561,3.3121951219512193,3.946341463414634,4.08130081300813,4.553658536585366,4.679512195121951,4.860162601626016,4.8585365853658535,4.7317073170731705,1.0975609756097562,3.5626016260162605,3.0016260162601625,3.0634146341463415,0.4292682926829268,1.1536585365853658,2.453658536585366,1.1986062717770034,,3.3634146341463413,,1.7745257452574523,,,1.6260162601626016
NZL,2011,3.628616726119699,1.361474435196195,1.5200158541418947,2.5089179548156957,2.853745541022592,,,,,,3.4462940943321443,3.394768133174792,4.268727705112961,4.4126040428061835,4.83485268859823,4.85731272294887,4.702734839476813,1.4625445897740785,3.6781609195402294,2.8715814506539834,1.9530321046373365,0.7966706302021404,1.5963139120095124,2.3384859294490687,1.2960760998810938,1.9432648207915746,3.480975029726516,3.501783590963139,2.421059585149954,1.1732065001981766,1.3594926674593737,2.172678028801691
NZL,2020,3.3317565436770735,1.0903500473036898,1.6840113528855254,2.336802270577105,2.9848628192999054,3.4200567644276254,4.159571113213497,2.4739829706717122,3.0479344055502993,3.0936613055818354,3.9498580889309367,3.9230526647745183,4.441816461684011,4.5846736045411545,4.926416482707874,4.862819299905393,4.763481551561021,1.2890255439924314,3.777988016398612,2.9848628192999054,2.1144749290444653,0.619678334910123,1.2133396404919583,2.1160517187007253,1.033247736180565,1.5657521286660356,3.055818353831599,2.833491012298959,1.926311363397456,0.8703878902554399,0.9713024282560707,1.6787553873646588
PAK,2012,4.372591936889958,0.11869450715260851,1.7944579782071326,2.785136034734463,1.1469922739047096,3.488054937807251,3.0938538309985266,1.7471855620647867,1.537060810222072,1.279632207506826,1.473832645593159,1.4982702351173487,1.1216148028924169,3.928859625311105,4.680215834728753,4.215401842901801,3.953673914097392,0.19416885752277727,2.8603102232230344,2.1806768732714743,1.1675340978586382,3.6376426007027924,0.6128171385803419,4.768399676050141,2.928746786592044,4.263304028251307,4.992759773165811,5.000000000000001,4.773513806512388,4.282033329226222,4.437062069889058,2.4264183165444924
PAK,2018,3.987468671679198,0.6102756892230576,1.7488164856585908,1.849624060150376,1.1804511278195489,3.3667502088554717,3.569757727652464,1.7259816207184626,1.5380116959064325,1.418546365914787,1.3233082706766917,1.2765246449456977,0.5401002506265664,3.943859649122807,4.481203007518797,3.7343358395989976,3.491228070175439,0.7218045112781954,2.6967418546365916,2.993316624895572,0.4724310776942356,2.9423558897243107,0.9298245614035088,4.742690058479533,3.301467955603294,4.394557823129252,4.859649122807017,4.927318295739348,4.7365636313004735,4.529657477025898,4.582289055973266,2.312169312169313
PER,2006,4.430712476329515,0.354401195466567,2.018091391455347,2.711357424053548,0.31014672082110656,1.991375017385415,2.3842252690923385,0.8084022970775863,1.4826661431111545,1.1496081730882077,3.3054935556533147,3.1938819582876143,3.8873388327217633,4.460407046299413,,4.701523591539701,4.701819911515008,0.550466155794487,1.677227830231014,2.3581863112622514,0.7481018793248435,2.2520636089946993,1.5811149299070892,2.8589222139787047,3.138552470834913,,4.515417512048541,,4.426342955582531,,,2.990605129671795
